alpha_p, beta_p, d, k0, k1, nlabel, ntrace, nchain, nskip, Ntrain, Ntest, Nfold, a, supervised, unsupervised, supervised_1, supervised_2, supervised_3, supervised_4, supervised_5, unsupervised_1, unsupervised_2, unsupervised_3, unsupervised_4, unsupervised_5
1,1,100,2,2,2,1000,2,2,500,100,5,15.007778463287575,0.9,0.89,0.9,0.89,0.86,0.91,0.9,0.82,0.52,0.84,0.53,0.89
1,1,100,2,2,2,1000,2,2,500,100,5,6.2814705697373,0.99,0.99,1.0,1.0,1.0,0.98,0.99,0.99,0.97,0.98,0.96,1.0
1,1,100,2,2,4,1000,2,2,500,100,5,2.395866810796533,0.73,0.59,0.73,0.81,0.79,0.78,0.78,0.67,0.62,0.69,0.66,0.66
1,1,100,2,2,4,1000,2,2,500,100,5,14.161045684391297,0.97,0.9,0.92,0.94,0.95,0.94,0.92,0.92,0.93,0.92,0.84,0.74
1,1,100,2,2,6,1000,2,2,500,100,5,4.33876635298573,0.82,0.77,0.87,0.88,0.78,0.89,0.86,0.79,0.75,0.61,0.77,0.76
1,1,100,2,2,6,1000,2,2,500,100,5,0.7569743036526726,0.7,0.62,0.67,0.68,0.62,0.57,0.66,0.57,0.55,0.55,0.51,0.55
1,1,100,2,2,8,1000,2,2,500,100,5,5.416385292319052,0.49,0.24,0.48,0.56,0.51,0.48,0.49,0.22,0.17,0.24,0.16,0.18
1,1,100,2,2,8,1000,2,2,500,100,5,8.783854878715818,0.98,0.92,0.98,0.97,0.93,0.94,0.98,0.93,0.89,0.87,0.9,0.93
1,1,100,2,2,10,1000,2,2,500,100,5,8.160038015625622,0.46,0.1,0.51,0.46,0.44,0.44,0.49,0.14,0.2,0.14,0.16,0.14
1,1,100,2,2,10,1000,2,2,500,100,5,9.329845136285504,0.71,0.55,0.81,0.81,0.88,0.83,0.78,0.46,0.57,0.74,0.63,0.57
1,1,100,2,2,12,1000,2,2,500,100,5,10.61949735064144,0.8,0.16,0.83,0.82,0.79,0.76,0.84,0.12,0.1,0.08,0.19,0.1
1,1,100,2,2,12,1000,2,2,500,100,5,9.573705142682435,0.23,0.07,0.24,0.31,0.24,0.24,0.3,0.12,0.12,0.12,0.12,0.06
1,1,100,2,2,14,1000,2,2,500,100,5,11.548147998079765,0.71,0.12,0.74,0.73,0.72,0.78,0.75,0.06,0.09,0.09,0.06,0.09
1,1,100,2,2,14,1000,2,2,500,100,5,0.5414863730904353,0.6,0.23,0.55,0.55,0.64,0.62,0.57,0.2,0.24,0.24,0.24,0.23
1,1,100,2,2,16,1000,2,2,500,100,5,9.235787930922882,0.97,0.14,0.95,0.92,0.92,0.96,0.94,0.05,0.13,0.1,0.16,0.17
1,1,100,2,2,16,1000,2,2,500,100,5,13.098167037143911,0.4,0.02,0.41,0.42,0.45,0.41,0.43,0.07,0.09,0.05,0.07,0.08
1,1,100,2,2,18,1000,2,2,500,100,5,9.175181228534562,0.51,0.06,0.47,0.62,0.59,0.51,0.56,0.05,0.08,0.06,0.07,0.12
1,1,100,2,2,18,1000,2,2,500,100,5,14.983495657300141,0.65,0.02,0.68,0.66,0.65,0.69,0.67,0.07,0.07,0.06,0.07,0.05
1,1,100,2,2,20,1000,2,2,500,100,5,7.597932178751496,0.7,0.07,0.67,0.75,0.64,0.8,0.72,0.06,0.03,0.02,0.04,0.05
1,1,100,2,2,20,1000,2,2,500,100,5,8.733075119315087,0.95,0.13,0.94,0.99,0.97,1.0,0.99,0.03,0.03,0.08,0.06,0.06
1,1,100,2,2,24,1000,2,2,500,100,5,1.2558128864319598,0.65,0.01,0.57,0.58,0.55,0.56,0.64,0.04,0.03,0.01,0.01,0.04
1,1,100,2,2,26,1000,2,2,500,100,5,4.867793358324399,0.29,0.08,0.26,0.3,0.26,0.27,0.19,0.05,0.03,0.01,0.04,0.03
1,1,100,2,2,28,1000,2,2,500,100,5,40.04585915333976,0.38,0.08,0.32,0.27,0.41,0.38,0.36,0.03,0.01,0.03,0.03,0.01
1,1,100,2,2,30,1000,2,2,500,100,5,11.256090633616108,0.09,0.02,0.11,0.19,0.11,0.18,0.09,0.02,0.0,0.03,0.03,0.03
1,1,100,2,2,32,1000,2,2,500,100,5,11.720387579483411,0.81,0.05,0.84,0.8,0.87,0.76,0.88,0.07,0.04,0.01,0.05,0.01
1,1,100,2,2,36,1000,2,2,500,100,5,2.109041236002639,0.42,0.03,0.35,0.38,0.45,0.38,0.42,0.02,0.04,0.04,0.04,0.03
1,1,100,2,2,36,1000,2,2,500,100,5,5.384108667627694,0.48,0.01,0.48,0.41,0.47,0.53,0.5,0.04,0.05,0.04,0.03,0.05
1,1,100,2,2,38,1000,2,2,500,100,5,17.44402675483758,0.07,0.02,0.14,0.13,0.17,0.12,0.17,0.02,0.04,0.05,0.03,0.01
1,1,100,2,2,40,1000,2,2,500,100,5,25.1046206866203,0.77,0.0,0.78,0.8,0.79,0.79,0.75,0.0,0.0,0.01,0.03,0.03
1,1,100,2,2,42,1000,2,2,500,100,5,6.259898661885575,0.52,0.04,0.52,0.49,0.54,0.56,0.43,0.03,0.04,0.05,0.02,0.03
1,1,100,2,2,44,1000,2,2,500,100,5,14.384403696780314,0.05,0.02,0.05,0.06,0.06,0.05,0.04,0.02,0.01,0.02,0.03,0.04
1,1,100,2,2,48,1000,2,2,500,100,5,15.933529672128797,0.31,0.03,0.32,0.37,0.29,0.33,0.4,0.01,0.02,0.01,0.01,0.0
1,1,100,2,2,48,1000,2,2,500,100,5,5.332498045130518,0.17,0.05,0.11,0.13,0.12,0.17,0.17,0.0,0.01,0.0,0.01,0.02
1,1,100,2,10,2,1000,2,2,500,100,5,17.061689714846814,0.6,0.53,0.68,0.6,0.59,0.65,0.51,0.56,0.52,0.51,0.45,0.53
1,1,100,2,10,2,1000,2,2,500,100,5,41.128853613661164,0.61,0.49,0.54,0.69,0.61,0.61,0.53,0.54,0.56,0.53,0.52,0.6
1,1,100,2,10,4,1000,2,2,500,100,5,9.212500300601171,0.72,0.64,0.78,0.76,0.73,0.79,0.81,0.71,0.69,0.64,0.7,0.59
1,1,100,2,10,4,1000,2,2,500,100,5,24.103556731993336,0.43,0.18,0.37,0.43,0.45,0.39,0.4,0.22,0.21,0.27,0.22,0.23
1,1,100,2,10,6,1000,2,2,500,100,5,6.758516070248587,0.45,0.17,0.46,0.39,0.47,0.37,0.39,0.16,0.17,0.23,0.14,0.27
1,1,100,2,10,6,1000,2,2,500,100,5,6.600709503566025,0.72,0.65,0.72,0.73,0.64,0.68,0.64,0.54,0.52,0.59,0.6,0.54
1,1,100,2,10,8,1000,2,2,500,100,5,1.6498671984000424,0.28,0.11,0.17,0.16,0.17,0.27,0.18,0.12,0.16,0.17,0.14,0.12
1,1,100,2,10,8,1000,2,2,500,100,5,20.5691224520738,0.74,0.19,0.68,0.75,0.71,0.71,0.75,0.13,0.09,0.12,0.2,0.1
1,1,100,2,10,10,1000,2,2,500,100,5,1.2262220972790934,0.11,0.08,0.14,0.13,0.18,0.15,0.14,0.06,0.15,0.15,0.13,0.08
1,1,100,2,10,10,1000,2,2,500,100,5,0.8830157757070877,0.17,0.12,0.13,0.07,0.13,0.11,0.15,0.06,0.11,0.13,0.1,0.07
