alpha_p, beta_p, d, k0, k1, nlabel, ntrace, nchain, nskip, Ntrain, Ntest, Nfold, a, supervised, unsupervised, supervised_1, supervised_2, supervised_3, supervised_4, supervised_5, unsupervised_1, unsupervised_2, unsupervised_3, unsupervised_4, unsupervised_5
1,1,20,2,5,2,1000,2,2,500,100,5,16.96306733979236,0.92,0.9,0.95,0.84,0.93,0.88,0.88,0.93,0.82,0.93,0.74,0.9
1,1,20,2,5,2,1000,2,2,500,100,5,0.06999676117912212,0.49,0.46,0.52,0.55,0.53,0.57,0.48,0.56,0.47,0.54,0.52,0.56
1,1,20,2,5,4,1000,2,2,500,100,5,15.99609662461222,0.41,0.24,0.36,0.34,0.29,0.24,0.39,0.31,0.26,0.28,0.25,0.27
1,1,20,2,5,4,1000,2,2,500,100,5,8.539381308765133,0.52,0.24,0.48,0.53,0.48,0.59,0.49,0.24,0.31,0.22,0.21,0.26
1,1,20,2,5,6,1000,2,2,500,100,5,0.5289125450016442,0.15,0.22,0.28,0.15,0.18,0.14,0.18,0.11,0.13,0.2,0.12,0.12
1,1,20,2,5,6,1000,2,2,500,100,5,12.177239532832708,0.3,0.19,0.27,0.33,0.41,0.3,0.29,0.17,0.21,0.22,0.19,0.22
1,1,40,2,5,2,1000,2,2,500,100,5,11.137246897665023,0.47,0.46,0.45,0.52,0.49,0.56,0.47,0.48,0.48,0.5,0.43,0.53
1,1,40,2,5,2,1000,2,2,500,100,5,3.027170589205039,0.87,0.85,0.81,0.86,0.84,0.83,0.88,0.81,0.88,0.84,0.87,0.86
1,1,40,2,5,4,1000,2,2,500,100,5,19.36233831080425,0.24,0.23,0.28,0.34,0.3,0.28,0.27,0.24,0.31,0.27,0.27,0.27
1,1,40,2,5,4,1000,2,2,500,100,5,11.576734387979394,0.66,0.56,0.76,0.72,0.74,0.75,0.81,0.64,0.68,0.56,0.57,0.6
1,1,40,2,5,6,1000,2,2,500,100,5,22.64701815089961,0.2,0.23,0.14,0.19,0.21,0.17,0.13,0.21,0.17,0.19,0.17,0.23
1,1,40,2,5,6,1000,2,2,500,100,5,5.588757205970324,0.33,0.18,0.34,0.47,0.29,0.4,0.32,0.2,0.2,0.16,0.2,0.18
1,1,40,2,5,8,1000,2,2,500,100,5,9.963522708564174,0.26,0.14,0.2,0.26,0.24,0.18,0.2,0.08,0.08,0.15,0.13,0.14
1,1,40,2,5,8,1000,2,2,500,100,5,6.777394861531327,0.2,0.17,0.07,0.17,0.22,0.19,0.16,0.16,0.12,0.08,0.11,0.09
1,1,40,2,5,10,1000,2,2,500,100,5,21.2391935125266,0.67,0.08,0.56,0.61,0.6,0.7,0.57,0.1,0.14,0.12,0.18,0.12
1,1,40,2,5,10,1000,2,2,500,100,5,4.826582523098196,0.16,0.09,0.16,0.1,0.12,0.14,0.07,0.09,0.11,0.07,0.1,0.12
1,1,40,2,5,12,1000,2,2,500,100,5,0.37855021581972736,0.19,0.06,0.14,0.14,0.22,0.16,0.14,0.09,0.13,0.06,0.07,0.07
1,1,40,2,5,12,1000,2,2,500,100,5,0.08031220582970809,0.33,0.15,0.35,0.33,0.4,0.35,0.33,0.18,0.08,0.13,0.14,0.03
1,1,40,2,5,14,1000,2,2,500,100,5,17.124902827369652,0.04,0.05,0.13,0.1,0.16,0.06,0.14,0.08,0.1,0.08,0.05,0.09
1,1,40,2,5,14,1000,2,2,500,100,5,11.819155650755,0.33,0.07,0.35,0.33,0.36,0.4,0.31,0.03,0.14,0.1,0.14,0.09
1,1,40,2,5,16,1000,2,2,500,100,5,3.4444816335604194,0.11,0.07,0.14,0.09,0.13,0.11,0.06,0.06,0.05,0.05,0.05,0.06
1,1,40,2,5,16,1000,2,2,500,100,5,27.3253265285311,0.06,0.06,0.11,0.06,0.1,0.12,0.13,0.05,0.06,0.07,0.06,0.04
