alpha_p, beta_p, d, k0, k1, nlabel, ntrace, nchain, nskip, N, Nfold, a, supervised_1, supervised_2, supervised_3, supervised_4, supervised_5, unsupervised_1, unsupervised_2, unsupervised_3, unsupervised_4, unsupervised_5
1.7366366645875986,4.506597486820106,35,3,1,3,500,2,2,200,5,27.826291334297814,0.5,0.75,0.575,0.5,0.5,0.45,0.325,0.425,0.375,0.425
6.875827704212059,5.184751326933386,81,6,10,10,500,2,2,200,5,3.196362387280902,0.1,0.125,0.175,0.075,0.125,0.125,0.125,0.125,0.075,0.025
5.161539209494953,1.540895521732596,65,7,7,8,500,2,2,200,5,0.6947408100564144,0.175,0.1,0.1,0.15,0.175,0.125,0.1,0.05,0.1,0.125
2.464891311071571,3.255861283103789,49,9,1,5,500,2,2,200,5,4.276746695339476,0.3,0.3,0.425,0.35,0.475,0.15,0.2,0.125,0.225,0.175
4.190477104076528,2.3398887563614137,161,21,6,7,500,2,2,200,5,0.02009534145996644,0.425,0.225,0.25,0.3,0.25,0.175,0.05,0.075,0.05,0.175
6.090111316816703,8.946522609917146,76,5,29,9,500,2,2,200,5,1.3583724182457437,0.075,0.1,0.225,0.05,0.075,0.075,0.075,0.075,0.1,0.1
0.14711719317716532,3.939939858704913,38,3,13,8,500,2,2,200,5,12.580014841801944,0.175,0.075,0.2,0.15,0.15,0.075,0.125,0.075,0.05,0.15
8.426798560448454,9.667707021096101,189,25,3,7,500,2,2,200,5,7.09030346080037,0.275,0.15,0.175,0.175,0.175,0.225,0.125,0.2,0.1,0.15
7.647652583200482,3.1979761387684857,78,1,51,10,500,2,2,200,5,6.94897523163,0.075,0.125,0.075,0.075,0.175,0.15,0.1,0.075,0.15,0.025
1.9812280662801707,5.7390882440645585,46,2,7,10,500,2,2,200,5,6.492853306784815,0.075,0.05,0.025,0.075,0.1,0.15,0.175,0.125,0.2,0.275
8.64192043116321,1.5996568315400206,52,1,22,4,500,2,2,200,5,13.628068426171557,0.3,0.15,0.2,0.275,0.225,0.225,0.225,0.3,0.2,0.175
4.452918513919283,0.29270746828860217,174,17,36,3,500,2,2,200,5,0.11811559072223363,0.225,0.4,0.425,0.25,0.275,0.225,0.225,0.275,0.325,0.275
