set_index, d, k0, k1, nlabel, ntrace, nchain, nskip, Ntrain, Ntest
1,20,2,2,3,1000,2,2,300,100
2,20,2,5,3,1000,2,2,300,100
3,20,2,10,3,1000,2,2,300,100
4,20,5,2,3,1000,2,2,300,100
5,20,5,5,3,1000,2,2,300,100
6,20,5,10,3,1000,2,2,300,100
7,20,10,2,3,1000,2,2,300,100
8,20,10,5,3,1000,2,2,300,100
9,20,10,10,3,1000,2,2,300,100
10,20,2,2,6,1000,2,2,300,100
11,20,2,5,6,1000,2,2,300,100
12,20,2,10,6,1000,2,2,300,100
13,20,5,2,6,1000,2,2,300,100
14,20,5,5,6,1000,2,2,300,100
15,20,5,10,6,1000,2,2,300,100
16,20,10,2,6,1000,2,2,300,100
17,20,10,5,6,1000,2,2,300,100
18,20,10,10,6,1000,2,2,300,100
19,20,2,2,9,1000,2,2,300,100
20,20,2,5,9,1000,2,2,300,100
21,20,2,10,9,1000,2,2,300,100
22,20,5,2,9,1000,2,2,300,100
23,20,5,5,9,1000,2,2,300,100
24,20,5,10,9,1000,2,2,300,100
25,20,10,2,9,1000,2,2,300,100
26,20,10,5,9,1000,2,2,300,100
27,20,10,10,9,1000,2,2,300,100
28,50,2,2,3,1000,2,2,300,100
29,50,2,5,3,1000,2,2,300,100
30,50,2,10,3,1000,2,2,300,100
31,50,5,2,3,1000,2,2,300,100
32,50,5,5,3,1000,2,2,300,100
33,50,5,10,3,1000,2,2,300,100
34,50,10,2,3,1000,2,2,300,100
35,50,10,5,3,1000,2,2,300,100
36,50,10,10,3,1000,2,2,300,100
37,50,2,2,6,1000,2,2,300,100
38,50,2,5,6,1000,2,2,300,100
39,50,2,10,6,1000,2,2,300,100
40,50,5,2,6,1000,2,2,300,100
41,50,5,5,6,1000,2,2,300,100
42,50,5,10,6,1000,2,2,300,100
43,50,10,2,6,1000,2,2,300,100
44,50,10,5,6,1000,2,2,300,100
45,50,10,10,6,1000,2,2,300,100
46,50,2,2,9,1000,2,2,300,100
47,50,2,5,9,1000,2,2,300,100
48,50,2,10,9,1000,2,2,300,100
49,50,5,2,9,1000,2,2,300,100
50,50,5,5,9,1000,2,2,300,100
51,50,5,10,9,1000,2,2,300,100
52,50,10,2,9,1000,2,2,300,100
53,50,10,5,9,1000,2,2,300,100
54,50,10,10,9,1000,2,2,300,100
55,100,2,2,3,1000,2,2,300,100
56,100,2,5,3,1000,2,2,300,100
57,100,2,10,3,1000,2,2,300,100
58,100,5,2,3,1000,2,2,300,100
59,100,5,5,3,1000,2,2,300,100
60,100,5,10,3,1000,2,2,300,100
61,100,10,2,3,1000,2,2,300,100
62,100,10,5,3,1000,2,2,300,100
63,100,10,10,3,1000,2,2,300,100
64,100,2,2,6,1000,2,2,300,100
65,100,2,5,6,1000,2,2,300,100
66,100,2,10,6,1000,2,2,300,100
67,100,5,2,6,1000,2,2,300,100
68,100,5,5,6,1000,2,2,300,100
69,100,5,10,6,1000,2,2,300,100
70,100,10,2,6,1000,2,2,300,100
71,100,10,5,6,1000,2,2,300,100
72,100,10,10,6,1000,2,2,300,100
73,100,2,2,9,1000,2,2,300,100
74,100,2,5,9,1000,2,2,300,100
75,100,2,10,9,1000,2,2,300,100
76,100,5,2,9,1000,2,2,300,100
77,100,5,5,9,1000,2,2,300,100
78,100,5,10,9,1000,2,2,300,100
79,100,10,2,9,1000,2,2,300,100
80,100,10,5,9,1000,2,2,300,100
81,100,10,10,9,1000,2,2,300,100
