mu_Mu, sigma2_Mu, alpha_Lambda, beta_Lambda, d, k0, k1, nlabel, ntrace, nchain, nskip, Ntrain, Ntest, Nfold
0,10.415241443983303,5.9781528975945895,8.525756917602891,108,5,46,10,500,2,2,200,100,5
0,19.980550338305463,5.266628170749886,9.157076909041093,93,19,6,3,500,2,2,200,100,5
0,39.377065001487615,5.3861539257981885,5.105733182512463,122,12,6,9,500,2,2,200,100,5
0,14.151018331513997,6.155376116074613,9.330732359914183,166,47,5,2,500,2,2,200,100,5
0,42.35841615081674,9.17146335831824,2.2998385061578697,64,5,12,10,500,2,2,200,100,5
0,15.90149765141846,1.59220558425748,3.3594541948871557,199,70,8,2,500,2,2,200,100,5
0,59.40073071227548,7.478403216283434,8.300282619903143,130,7,27,7,500,2,2,200,100,5
0,98.09862766457475,4.814372884149603,2.695951198588875,156,13,61,3,500,2,2,200,100,5
0,46.08489243464305,4.565677025362424,7.321121171900963,146,23,23,2,500,2,2,200,100,5
0,41.64700471704546,3.224918381748968,4.000410912934004,123,22,7,5,500,2,2,200,100,5
0,32.66779652150509,7.649248241857805,8.877504255336417,163,10,43,5,500,2,2,200,100,5
0,8.331912732370505,3.93041720229582,6.934045408625496,57,11,1,5,500,2,2,200,100,5
0,7.589690212966196,5.887841650611017,9.74410463592743,102,15,8,5,500,2,2,200,100,5
0,49.026031585481974,5.4835299511619455,6.680261185911629,28,3,5,7,500,2,2,200,100,5
0,40.659842687407256,3.3010289656717187,2.3871776553900226,46,6,3,6,500,2,2,200,100,5
0,46.4636688801072,5.499221700971191,8.358981120671638,198,9,31,9,500,2,2,200,100,5
0,40.73731093821241,8.726655714530501,9.055387955769088,53,9,17,3,500,2,2,200,100,5
0,66.00451622541742,8.240384162642737,9.49798075544333,94,10,9,7,500,2,2,200,100,5
0,188.68194709885594,4.64310415774131,1.7016780672547072,56,6,15,5,500,2,2,200,100,5
0,70.02269352660409,6.811220626160638,4.637796323001281,110,8,15,8,500,2,2,200,100,5
0,2.9136777454032576,2.068830671086909,5.212450655305938,74,1,35,4,500,2,2,200,100,5
0,92.00700497802742,7.5522095605017805,6.632747616876023,165,15,33,5,500,2,2,200,100,5
0,32.79280267171561,5.171937212690736,7.05987524126361,96,11,5,8,500,2,2,200,100,5
0,40.829607381206806,9.499258585004624,6.565545817625095,37,1,10,6,500,2,2,200,100,5
0,215.68404381947613,8.206219169843646,2.568428329110196,136,13,2,10,500,2,2,200,100,5
0,37.394822749104094,3.633279946726897,5.949058650220812,178,10,37,10,500,2,2,200,100,5
0,72.49983291303812,9.537150317704176,2.864601787429409,136,18,52,4,500,2,2,200,100,5
0,78.28554190157125,9.007597607446662,6.018897288854294,121,2,17,7,500,2,2,200,100,5
0,39.15851718957094,2.195333164234323,1.8344297419155653,101,11,2,9,500,2,2,200,100,5
0,2.9029733897309833,1.615422006122489,8.385168888343124,175,13,4,5,500,2,2,200,100,5
0,6.790027430101344,2.8726784602279185,5.955593966276412,103,4,41,7,500,2,2,200,100,5
0,26.12659450900461,7.255436629402979,4.2686765928948445,67,2,44,9,500,2,2,200,100,5
0,0.5191071689076223,3.8433385108416496,9.820602551051856,95,17,3,3,500,2,2,200,100,5
0,57.94213891601557,2.632864623125326,1.7910769492752765,48,11,14,2,500,2,2,200,100,5
0,15.382817075027688,3.1469879562225476,5.440608222944533,45,2,10,3,500,2,2,200,100,5
0,110.90136376126935,9.516027779022158,7.482660298983355,43,5,2,8,500,2,2,200,100,5
0,2054.6415488505354,8.921901068621178,0.27172793909110093,79,10,13,6,500,2,2,200,100,5
0,96.432704735899,7.464337177807153,5.110992082386651,25,3,3,3,500,2,2,200,100,5
0,43.46779982285958,5.413813593565279,7.559183765470361,36,1,7,6,500,2,2,200,100,5
0,406.9392593057031,9.636153536014655,1.2395194686948763,167,15,14,10,500,2,2,200,100,5
0,2441.90385220605,8.706347925977116,0.09261810618058086,111,8,39,8,500,2,2,200,100,5
0,4.606581055086976,3.5039411443394712,6.701109320963045,80,7,14,8,500,2,2,200,100,5
0,107.52827042819865,6.814092202007995,4.703728305092031,129,6,26,7,500,2,2,200,100,5
0,19.26048194426214,2.8120606202870184,7.554566674159343,60,8,5,6,500,2,2,200,100,5
0,141.9330291181105,9.350081471263332,5.61853279972299,91,23,14,2,500,2,2,200,100,5
0,0.34176795332173143,2.9640245590552965,9.03231084386305,70,1,44,6,500,2,2,200,100,5
0,3.6812063257354306,1.597656920398141,2.155635153580673,106,38,14,2,500,2,2,200,100,5
0,83.99031385917664,9.9473181016266,9.868665212127652,28,3,8,6,500,2,2,200,100,5
0,41.46221373350027,6.701564119061416,9.801020136659474,100,24,27,3,500,2,2,200,100,5
0,1188.3747781797426,9.935589178858569,0.49399447678630914,117,2,45,9,500,2,2,200,100,5
0,630.460708516174,3.872061686025397,0.06014642521202429,179,18,2,5,500,2,2,200,100,5
0,62.49742556078099,6.6393175107632665,5.055748741022762,180,8,26,4,500,2,2,200,100,5
0,3.9114642886878577,1.2876498595396346,6.691390470029031,34,3,4,10,500,2,2,200,100,5
0,4.992983301338814,6.381066016953191,7.985545720698596,70,3,1,8,500,2,2,200,100,5
0,246.6352764646293,7.147758462837,0.8909651474541469,80,8,7,6,500,2,2,200,100,5
0,0.3732984435334223,1.047993596062918,7.646108489695694,65,12,2,4,500,2,2,200,100,5
0,82.3549513901446,9.296795129081353,5.698791874865926,147,20,26,2,500,2,2,200,100,5
0,177.99394471824056,7.236825298142156,2.7291888663678856,111,21,2,4,500,2,2,200,100,5
0,24.340151634398403,5.23389756531187,2.470416041966619,106,7,33,8,500,2,2,200,100,5
0,26.1623625059066,5.4601457636397654,8.627179746644702,113,3,85,6,500,2,2,200,100,5
0,74.20380121837518,5.0458227664026865,4.498784018757523,57,3,7,8,500,2,2,200,100,5
0,4.426456143008562,1.6414729947645053,7.664032872960736,187,8,57,10,500,2,2,200,100,5
0,32.95292092339496,5.175380886336668,2.2517368998930842,140,8,74,7,500,2,2,200,100,5
0,18.19309604235491,5.588290817314853,7.186744354448484,31,1,8,5,500,2,2,200,100,5
0,5.415087517046516,3.337482754800641,6.7063311250346205,169,19,22,3,500,2,2,200,100,5
0,198.18265311181074,7.8453916965979404,2.788499040121496,81,4,35,9,500,2,2,200,100,5
0,108.0950497370249,9.117233433018257,3.410978591703211,182,16,6,10,500,2,2,200,100,5
0,35.042279312522375,3.5902080363367386,6.498499374716844,185,33,96,2,500,2,2,200,100,5
0,40.191579640856055,6.945072843038907,7.203861039181891,50,8,14,3,500,2,2,200,100,5
0,20.624728514264064,2.733414080660063,4.548554401415656,177,8,4,10,500,2,2,200,100,5
0,151.85637861425965,7.016898647083979,3.7597298216051325,35,11,1,3,500,2,2,200,100,5
0,135.79703059091887,6.920366325573796,4.35223908109534,192,8,6,9,500,2,2,200,100,5
0,35.47732744742338,9.50419756428922,4.408898478263852,38,2,1,10,500,2,2,200,100,5
0,27.531411117311638,3.507977948182889,5.987833746380009,55,4,36,4,500,2,2,200,100,5
0,4.3313807009131695,1.6319565495122619,1.5168422013715244,94,10,14,8,500,2,2,200,100,5
0,147.7910095435718,6.761359796016251,1.1102854067981727,36,2,18,9,500,2,2,200,100,5
0,307.1978635600789,9.454685362423383,2.351625391895241,83,8,3,7,500,2,2,200,100,5
0,108.29425351316307,4.986138464608203,0.6517645660904858,72,11,2,6,500,2,2,200,100,5
0,5.312158371308332,1.1102723674692236,1.9545308067213252,68,9,40,3,500,2,2,200,100,5
0,96.18894590323025,8.883028655989264,8.116333758482119,103,6,39,9,500,2,2,200,100,5
0,296.32933241049767,8.682068095150983,2.5066439818535224,95,6,6,10,500,2,2,200,100,5
0,6.075174764242389,3.6831838359580593,7.820354438197188,46,2,4,9,500,2,2,200,100,5
0,26.868817394050424,2.924687228015657,6.390340891169113,69,4,14,5,500,2,2,200,100,5
0,35.0816048097738,7.472965127608975,9.459788254842493,90,4,3,10,500,2,2,200,100,5
0,24.731599937639746,2.125215553792569,1.7541479606548216,25,5,2,4,500,2,2,200,100,5
0,4.6159118296496615,2.392967920421104,7.8432425155941585,112,9,58,6,500,2,2,200,100,5
0,3.4362415919657656,8.511201571722879,9.216177499067426,100,4,65,6,500,2,2,200,100,5
0,519.0288911347677,3.427382357891447,0.35634865527967574,131,2,33,8,500,2,2,200,100,5
0,53.22206329978464,2.7072532634953395,2.239846510704546,38,4,19,4,500,2,2,200,100,5
0,44.61584066205628,3.7764776881182627,2.5832700528090227,58,6,22,2,500,2,2,200,100,5
0,10.458383246547962,3.274248973031149,9.793313640991048,112,5,44,7,500,2,2,200,100,5
0,40.11276673411516,8.96519947455041,4.8741907077656315,180,6,114,8,500,2,2,200,100,5
0,25.437893992783337,8.296856106733902,7.553427770752039,60,5,24,7,500,2,2,200,100,5
0,113.54846111544407,9.94948785326414,5.598540298928797,63,2,25,10,500,2,2,200,100,5
0,89.89788326220861,4.278372428224784,3.3683881659742596,68,11,8,5,500,2,2,200,100,5
0,62.51838063246112,8.540282989234948,9.458955235825373,182,4,63,9,500,2,2,200,100,5
0,127.83787013464624,7.406356430747179,4.031055829006663,132,5,75,8,500,2,2,200,100,5
0,12.520527927816744,3.988340434877464,5.165133092888078,94,1,76,8,500,2,2,200,100,5
0,3.629143407328461,2.3713382547788924,7.135287106102329,87,13,5,6,500,2,2,200,100,5
0,3129.774404495053,8.567442355535889,0.06558027882294648,174,10,104,7,500,2,2,200,100,5
0,29.10952739298542,7.430651527991244,9.46212686211392,164,8,65,10,500,2,2,200,100,5
0,202.38498934429654,6.680562370243335,2.3669670154205624,136,20,15,6,500,2,2,200,100,5
0,28.67334276618919,8.629205326269823,7.906109945797125,104,23,16,3,500,2,2,200,100,5
0,81.29600645429939,7.476304024003156,5.236925995141695,73,11,11,4,500,2,2,200,100,5
0,71.73473259349412,7.660513645361803,6.767171852230036,115,25,7,4,500,2,2,200,100,5
0,64.78104110038502,7.1317772531482175,8.725693343311228,159,9,21,7,500,2,2,200,100,5
0,23.353200504002473,1.689390109338777,1.971533465495784,20,3,2,5,500,2,2,200,100,5
0,14.668075809498001,6.643309315842299,8.305194236977233,44,1,18,4,500,2,2,200,100,5
0,63.85266307268453,4.164630881792887,4.240220000159795,61,5,8,7,500,2,2,200,100,5
0,23.287825154805063,2.943207725095387,7.417799248336391,24,5,14,2,500,2,2,200,100,5
0,62.33821527780147,9.60027923031004,1.394061374901694,66,2,3,7,500,2,2,200,100,5
0,27.092602334723058,6.18450546636199,3.982107096416869,130,8,71,6,500,2,2,200,100,5
0,32.28278648648961,4.6586984118431705,3.920471080356931,95,3,39,10,500,2,2,200,100,5
0,11.940416688810888,3.53714086883483,9.355929533885176,54,7,5,5,500,2,2,200,100,5
0,10.439614610696383,5.417277987433788,8.347433968388629,65,5,20,6,500,2,2,200,100,5
0,27.281199558823158,4.428928301273117,7.933462161229694,165,23,26,6,500,2,2,200,100,5
0,108.63629674329083,7.984497330594612,1.1992160316545952,199,5,16,7,500,2,2,200,100,5
0,1.8368692457957407,1.1082564862910589,3.3950723780757732,171,14,55,6,500,2,2,200,100,5
0,1.0576719387088007,2.857586788274001,7.033456809648294,50,7,15,4,500,2,2,200,100,5
0,12.073084903679987,5.834886392530092,6.257179342061625,73,20,24,2,500,2,2,200,100,5
0,30.64350587160816,8.343266406449864,6.0268726253537395,30,1,14,3,500,2,2,200,100,5
0,159.20207038832586,5.644063734235363,2.8630098081702506,148,9,39,7,500,2,2,200,100,5
0,32.33765329039348,2.233069977764572,3.557317805162601,183,23,55,3,500,2,2,200,100,5
0,4128.5899823129,6.689059643379095,0.13041928900176636,189,4,73,6,500,2,2,200,100,5
0,54.05612396417939,1.543487566739816,0.3344763699817621,162,17,24,7,500,2,2,200,100,5
0,5.870255119174364,6.10961553345599,9.74463332300206,113,6,13,9,500,2,2,200,100,5
0,29.997039592975373,3.822160197441894,7.839722230083735,103,4,40,10,500,2,2,200,100,5
0,1.0818004055261532,1.5270259919613576,6.124764798883532,125,2,55,5,500,2,2,200,100,5
0,33.12003441253585,4.042987683142485,7.629986096901783,174,38,6,4,500,2,2,200,100,5
0,49.67360828145202,7.259228687989503,9.014863983350354,146,72,1,2,500,2,2,200,100,5
0,40.33740476023125,6.219925792179904,9.838820257542158,57,1,17,6,500,2,2,200,100,5
0,283.660564335314,9.848701241682232,2.668259884836898,22,2,6,8,500,2,2,200,100,5
0,65.57256014801669,8.372435601235772,6.994858605612956,105,8,2,8,500,2,2,200,100,5
0,16.12678881071393,5.340831441647726,5.104557785171433,176,47,37,2,500,2,2,200,100,5
0,24.731562551302297,7.32465472795813,7.760534887166989,87,4,18,7,500,2,2,200,100,5
0,26.800867004045045,2.8328026925609877,3.842240905661737,48,3,9,5,500,2,2,200,100,5
0,28.654778309730506,4.127777699480809,9.160914657144618,189,8,71,10,500,2,2,200,100,5
0,4.837454129668217,1.7795137129921597,9.77514016380656,79,1,26,10,500,2,2,200,100,5
0,42.45046885672001,4.886762851398808,8.331596042549231,20,1,8,7,500,2,2,200,100,5
0,28.73123072385737,6.329159562575585,8.366950738346326,199,25,24,7,500,2,2,200,100,5
0,44.99491107473472,9.757286107641674,8.276030925361667,131,62,6,2,500,2,2,200,100,5
0,20.69273495171865,2.382326707441723,2.430532816605159,93,5,36,3,500,2,2,200,100,5
0,76.47996142239283,7.414960145244013,2.9808848167577997,187,1,46,9,500,2,2,200,100,5
0,22.21617375462828,3.661881158964348,3.2439969106650866,87,14,11,4,500,2,2,200,100,5
0,5.209935794854192,1.3170952658517936,5.836760714291716,194,62,31,2,500,2,2,200,100,5
0,277.4266073330055,4.069693233233698,1.0005954990192523,192,17,93,3,500,2,2,200,100,5
0,4.863218870624649,4.6336581087738296,4.824162337192812,156,17,3,9,500,2,2,200,100,5
0,9.042267739791704,4.375943840184883,8.015657546977424,140,15,2,9,500,2,2,200,100,5
0,60.11552999487588,7.904442216829375,9.886491332153529,180,5,48,7,500,2,2,200,100,5
0,0.5256269869068142,1.1960112717737124,6.176338666040091,61,7,13,6,500,2,2,200,100,5
0,38.933614646239185,3.7722628407349643,1.4466210233300403,191,26,7,7,500,2,2,200,100,5
