mu_Mu, sigma2_Mu, alpha_Lambda, beta_Lambda, d, k0, k1, nlabel, ntrace, nchain, nskip, Ntrain, Ntest, Nfold, a, supervised, unsupervised, supervised_1, supervised_2, supervised_3, supervised_4, supervised_5, unsupervised_1, unsupervised_2, unsupervised_3, unsupervised_4, unsupervised_5
0,5,2,4,100,2,5,2,1000,2,2,500,100,5,2.472084658157699,0.78,0.68,0.61,0.8,0.7,0.78,0.75,0.68,0.69,0.67,0.64,0.67
0,5,2,4,100,2,5,4,1000,2,2,500,100,5,2.1673492295427046,0.82,0.63,0.78,0.83,0.77,0.76,0.74,0.48,0.62,0.71,0.71,0.64
0,5,2,4,100,2,5,6,1000,2,2,500,100,5,2.9091407854098126,0.93,0.8,0.89,0.88,0.98,0.94,0.94,0.77,0.51,0.74,0.77,0.8
0,5,2,4,100,2,5,6,1000,2,2,500,100,5,8.098092187089595,0.52,0.46,0.63,0.57,0.44,0.53,0.58,0.46,0.39,0.37,0.37,0.43
0,5,2,4,100,2,5,8,1000,2,2,500,100,5,5.44503202798624,1.0,0.98,0.99,1.0,1.0,1.0,0.99,0.92,0.97,0.97,0.97,0.95
0,5,2,4,100,2,5,8,1000,2,2,500,100,5,3.9004897843195385,0.78,0.65,0.83,0.83,0.83,0.86,0.78,0.7,0.6,0.71,0.66,0.67
0,5,2,4,100,2,5,10,1000,2,2,500,100,5,3.3283226075959584,0.73,0.55,0.79,0.79,0.84,0.77,0.83,0.67,0.56,0.68,0.52,0.6
0,5,2,4,100,2,5,12,1000,2,2,500,100,5,0.009508331470563992,0.53,0.56,0.53,0.54,0.59,0.56,0.46,0.47,0.56,0.54,0.5,0.39
0,5,2,4,100,2,5,14,1000,2,2,500,100,5,2.1638632102530537,0.14,0.09,0.13,0.13,0.12,0.13,0.13,0.08,0.04,0.05,0.08,0.05
0,5,2,4,100,2,5,14,1000,2,2,500,100,5,23.985114922673212,0.97,0.94,0.98,0.97,0.98,0.99,0.99,0.94,0.84,0.94,0.94,0.95
0,5,2,4,100,2,5,18,1000,2,2,500,100,5,3.879902794880659,0.45,0.19,0.49,0.45,0.5,0.38,0.43,0.16,0.22,0.16,0.11,0.2
0,5,2,4,100,2,5,18,1000,2,2,500,100,5,17.949147745417996,0.86,0.75,0.9,0.83,0.88,0.88,0.92,0.65,0.62,0.66,0.72,0.77
0,5,2,4,100,2,5,20,1000,2,2,500,100,5,10.825823259555508,0.47,0.16,0.42,0.42,0.43,0.47,0.48,0.06,0.08,0.08,0.12,0.1
0,5,2,4,100,2,5,20,1000,2,2,500,100,5,11.734815703927842,0.65,0.25,0.73,0.62,0.58,0.63,0.65,0.29,0.16,0.31,0.24,0.26
0,5,2,4,100,2,5,22,1000,2,2,500,100,5,1.0743775215076508,0.6,0.39,0.55,0.62,0.56,0.5,0.51,0.34,0.4,0.4,0.34,0.28
0,5,2,4,100,2,5,24,1000,2,2,500,100,5,2.926329101123168,0.37,0.08,0.32,0.27,0.25,0.4,0.34,0.06,0.11,0.09,0.11,0.11
0,5,2,4,100,2,5,24,1000,2,2,500,100,5,5.287384932818965,0.99,0.87,1.0,0.98,1.0,0.98,0.99,0.69,0.49,0.77,0.78,0.91
0,5,2,4,100,2,5,26,1000,2,2,500,100,5,10.896714721513534,0.54,0.02,0.41,0.46,0.47,0.39,0.4,0.02,0.06,0.05,0.08,0.04
0,5,2,4,100,2,5,28,1000,2,2,500,100,5,9.63572686967218,0.72,0.17,0.78,0.75,0.84,0.74,0.7,0.11,0.15,0.08,0.18,0.05
0,5,2,4,100,2,5,32,1000,2,2,500,100,5,0.9588486095535149,0.79,0.03,0.77,0.7,0.74,0.76,0.78,0.03,0.07,0.03,0.06,0.04
0,5,2,4,100,2,5,46,1000,2,2,500,100,5,23.085083399744715,0.11,0.02,0.16,0.12,0.14,0.17,0.13,0.01,0.06,0.01,0.02,0.02
0,5,2,4,100,2,2,2,1000,2,2,500,100,5,6.95359852729985,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.96,0.98,0.86,0.89,0.82
0,5,2,4,100,2,2,2,1000,2,2,500,100,5,4.905109287000778,0.91,0.86,0.92,0.91,0.91,0.92,0.76,0.75,0.86,0.75,0.8,0.61
0,5,2,4,100,2,2,4,1000,2,2,500,100,5,3.307954962004443,0.95,0.82,0.9,0.94,0.91,0.88,0.89,0.85,0.89,0.84,0.8,0.84
0,5,2,4,100,2,2,6,1000,2,2,500,100,5,0.1103786408819846,0.33,0.32,0.32,0.35,0.24,0.3,0.29,0.29,0.25,0.32,0.37,0.27
0,5,2,4,100,2,2,6,1000,2,2,500,100,5,1.6816467547550649,0.58,0.51,0.63,0.56,0.59,0.6,0.56,0.42,0.46,0.5,0.47,0.48
0,5,2,4,100,2,2,8,1000,2,2,500,100,5,2.3113481851444395,0.99,0.91,0.99,0.99,1.0,0.99,1.0,0.95,0.92,0.92,0.95,0.89
0,5,2,4,100,2,2,8,1000,2,2,500,100,5,12.389901673919255,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,5,2,4,100,2,2,10,1000,2,2,500,100,5,5.434728798664797,0.99,0.95,1.0,1.0,1.0,1.0,1.0,0.9,0.96,0.98,0.99,0.9
0,5,2,4,100,2,2,10,1000,2,2,500,100,5,1.570831182652557,0.86,0.58,0.7,0.76,0.84,0.78,0.91,0.61,0.72,0.67,0.63,0.77
0,5,2,4,100,2,2,12,1000,2,2,500,100,5,2.171361523255444,1.0,0.96,1.0,0.98,0.99,1.0,0.97,0.94,0.94,0.99,0.97,0.84
0,5,2,4,100,2,2,14,1000,2,2,500,100,5,14.25363590799136,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.91,0.98,0.98,0.99
0,5,2,4,100,2,2,14,1000,2,2,500,100,5,4.205617180260105,0.87,0.7,0.81,0.87,0.94,0.89,0.88,0.67,0.63,0.69,0.69,0.8
0,5,2,4,100,2,2,16,1000,2,2,500,100,5,22.745304445996357,0.97,0.84,0.97,0.91,0.99,0.96,0.92,0.7,0.76,0.74,0.72,0.69
0,5,2,4,100,2,2,16,1000,2,2,500,100,5,1.1979557249896613,0.6,0.48,0.55,0.72,0.65,0.59,0.55,0.3,0.54,0.51,0.47,0.45
0,5,2,4,100,2,2,18,1000,2,2,500,100,5,18.90146732522285,1.0,0.98,1.0,1.0,1.0,1.0,1.0,0.99,0.97,0.95,0.95,0.96
0,5,2,4,100,2,2,18,1000,2,2,500,100,5,9.212211280581515,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.99,1.0,0.94,1.0,0.92
0,5,2,4,100,2,2,20,1000,2,2,500,100,5,18.85985400843749,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.94,1.0,0.98,1.0,0.99
0,5,2,4,100,2,2,20,1000,2,2,500,100,5,17.94027398075928,0.99,0.94,0.96,1.0,1.0,1.0,1.0,0.89,0.9,0.92,0.94,0.97
0,5,2,4,100,2,2,22,1000,2,2,500,100,5,0.4896545853785481,0.97,0.67,0.93,0.91,0.95,0.9,0.92,0.49,0.64,0.58,0.42,0.63
0,5,2,4,100,2,2,22,1000,2,2,500,100,5,0.28540475759743517,0.53,0.24,0.43,0.57,0.6,0.57,0.53,0.16,0.35,0.33,0.23,0.26
0,5,2,4,100,2,2,24,1000,2,2,500,100,5,5.41449772160254,1.0,0.9,1.0,1.0,0.99,1.0,0.99,0.85,0.9,0.93,0.96,0.94
0,5,2,4,100,2,2,30,1000,2,2,500,100,5,10.406293737287164,1.0,0.64,1.0,1.0,1.0,1.0,1.0,0.59,0.55,0.56,0.63,0.7
0,5,2,4,100,2,2,32,1000,2,2,500,100,5,3.412592892139232,0.93,0.61,0.95,0.93,0.97,0.96,0.97,0.22,0.0,0.1,0.66,0.09
0,5,2,4,100,2,2,40,1000,2,2,500,100,5,0.9314683731130796,0.96,0.12,0.93,0.95,0.96,0.91,0.94,0.12,0.01,0.01,0.03,0.04
0,5,2,4,100,2,2,44,1000,2,2,500,100,5,0.7161211590213292,0.85,0.01,0.83,0.83,0.85,0.84,0.86,0.01,0.03,0.02,0.04,0.02
0,5,2,4,100,2,10,2,1000,2,2,500,100,5,9.02050269911156,0.72,0.68,0.66,0.71,0.73,0.75,0.69,0.57,0.55,0.66,0.61,0.62
0,5,2,4,100,2,10,2,1000,2,2,500,100,5,10.920926849945916,0.98,0.94,0.96,0.98,0.96,0.97,0.99,0.88,0.94,0.96,0.92,0.94
0,5,2,4,100,2,10,4,1000,2,2,500,100,5,4.0132801116528585,0.38,0.35,0.41,0.31,0.37,0.4,0.37,0.3,0.28,0.31,0.29,0.32
0,5,2,4,100,2,10,6,1000,2,2,500,100,5,8.30011161457152,0.82,0.62,0.77,0.66,0.82,0.8,0.74,0.58,0.58,0.58,0.51,0.58
