mu_Mu, sigma2_Mu, alpha_Lambda, beta_Lambda, d, k0, k1, nlabel, ntrace, nchain, nskip, Ntrain, Ntest, Nfold, a, supervised, unsupervised, supervised_1, supervised_2, supervised_3, supervised_4, supervised_5, unsupervised_1, unsupervised_2, unsupervised_3, unsupervised_4, unsupervised_5
0,5,2,4,20,2,5,2,1000,2,2,500,100,5,9.336920655340979,0.98,0.97,0.95,0.97,0.97,0.95,0.97,0.94,0.97,0.95,0.93,0.94
0,5,2,4,20,2,5,2,1000,2,2,500,100,5,0.3545670999577905,0.63,0.67,0.71,0.62,0.61,0.6,0.68,0.65,0.58,0.66,0.66,0.72
0,5,2,4,20,2,5,4,1000,2,2,500,100,5,6.221020055287675,0.62,0.61,0.6,0.64,0.48,0.63,0.6,0.48,0.69,0.52,0.42,0.5
0,5,2,4,20,2,5,4,1000,2,2,500,100,5,0.7184628829511011,0.65,0.61,0.66,0.63,0.69,0.65,0.59,0.38,0.46,0.41,0.54,0.49
0,5,2,4,20,2,5,6,1000,2,2,500,100,5,0.37593003668221003,0.35,0.21,0.4,0.46,0.35,0.38,0.41,0.28,0.31,0.22,0.19,0.28
0,5,2,4,20,2,5,6,1000,2,2,500,100,5,31.6746441084347,0.56,0.4,0.64,0.56,0.5,0.62,0.53,0.25,0.34,0.34,0.27,0.27
0,5,2,4,40,2,5,2,1000,2,2,500,100,5,12.328609628705365,0.98,0.94,0.96,0.97,0.94,0.98,0.97,0.9,0.96,0.96,0.95,0.9
0,5,2,4,40,2,5,2,1000,2,2,500,100,5,3.2647216907151835,0.98,0.97,0.98,0.99,0.98,1.0,0.98,0.94,0.95,1.0,0.97,0.97
0,5,2,4,40,2,5,4,1000,2,2,500,100,5,0.25445369315290545,0.65,0.55,0.65,0.67,0.68,0.65,0.61,0.56,0.52,0.51,0.7,0.55
0,5,2,4,40,2,5,4,1000,2,2,500,100,5,3.446645959686453,0.89,0.72,0.88,0.89,0.9,0.89,0.93,0.7,0.78,0.78,0.7,0.82
0,5,2,4,40,2,5,6,1000,2,2,500,100,5,6.874207893240541,0.95,0.88,0.95,0.88,0.92,0.92,0.87,0.78,0.75,0.81,0.76,0.66
0,5,2,4,40,2,5,6,1000,2,2,500,100,5,21.146432133788963,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.97,0.95,0.97
0,5,2,4,40,2,5,8,1000,2,2,500,100,5,5.418918953618583,0.6,0.53,0.67,0.59,0.7,0.61,0.72,0.53,0.52,0.58,0.39,0.54
0,5,2,4,40,2,5,8,1000,2,2,500,100,5,3.3723152009002484,0.91,0.81,0.89,0.93,0.92,0.89,0.95,0.7,0.72,0.85,0.82,0.77
