no,supervised,unsupervised
2,0.9999999999999999,0.13333333333333333
16,0.9999999999999999,0.13333333333333333
14,0.9999999999999999,0.26666666666666666
13,0.9999999999999999,0.26666666666666666
9,0.9999999999999999,0.13333333333333333
26,0.0,0.06666666666666667
29,0.0,0.3333333333333333
51,0.6666666666666666,0.26666666666666666
42,0.26666666666666666,0.2
36,0.39999999999999997,0.3333333333333333
35,0.26666666666666666,0.2
55,0.0,0.13333333333333333
17,0.9333333333333332,0.2
4,0.9999999999999999,0.26666666666666666
19,0.8666666666666666,0.06666666666666667
20,0.9333333333333332,0.2
22,0.9333333333333332,0.26666666666666666
31,0.26666666666666666,0.2
25,0.0,0.26666666666666666
52,0.8666666666666666,0.26666666666666666
48,0.4666666666666666,0.3333333333333333
47,0.3333333333333333,0.39999999999999997
34,0.13333333333333333,0.2
56,0.06666666666666667,0.4666666666666666
18,0.7333333333333333,0.2
1,0.9999999999999999,0.3333333333333333
12,0.7333333333333333,0.26666666666666666
7,0.9999999999999999,0.3333333333333333
30,0.13333333333333333,0.13333333333333333
24,0.06666666666666667,0.0
45,0.7333333333333333,0.26666666666666666
40,0.7333333333333333,0.13333333333333333
44,0.5333333333333333,0.13333333333333333
41,0.5333333333333333,0.4666666666666666
54,0.13333333333333333,0.26666666666666666
11,0.9999999999999999,0.13333333333333333
5,0.9999999999999999,0.26666666666666666
10,0.9333333333333332,0.26666666666666666
3,0.9999999999999999,0.3333333333333333
27,0.0,0.13333333333333333
28,0.0,0.4666666666666666
39,0.2,0.26666666666666666
37,0.2,0.13333333333333333
33,0.0,0.4666666666666666
43,0.3333333333333333,0.13333333333333333
53,0.0,0.26666666666666666
6,0.5333333333333333,0.13333333333333333
23,0.9999999999999999,0.2
21,0.7999999999999999,0.13333333333333333
15,0.9333333333333332,0.13333333333333333
8,0.7333333333333333,0.0
32,0.13333333333333333,0.13333333333333333
46,0.39999999999999997,0.39999999999999997
38,0.2,0.3333333333333333
49,0.6666666666666666,0.2
50,0.6,0.13333333333333333
57,0.06666666666666667,0.13333333333333333
